show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
1634,TV Show,Broken Dreams 640,Director 188,"Actor 176, Actor 1060",Australia,"January 14, 2025",2003.0,PG-13,105 min,Thriller,An emotional journey about life and relationships.
1635,TV Show,Secret Files 1961,,Actor 1890,,"June 08, 2019",1980.0,PG,45 min,Documentary,An emotional journey about life and relationships.
429,TV Show,Last Kingdom 1944,,,Australia,,2023.0,PG,181 min,Drama,An emotional journey about life and relationships.
1637,TV Show,Broken Dreams 315,Director 372,,Australia,,,PG-13,9 Seasons,Sci-Fi,
1638,MOVIE,Urban Legends 536,,"Actor 258, Actor 1150",Australia,2020-05-20,2017.0,R,5 Seasons,Horror,An emotional journey about life and relationships.
1639,Movie,Lost City 1391,Director 153,,France,,,TV-MA,,Horror,
1640,tv show,Mystery House 1593,,"Actor 445, Actor 812",UK,,,R,10 Season,Comedy,A gripping comedy story full of twists.
1641,MOVIE,Secret Files 1355,Director 138,,,"November 30, 2019",,R,43 min,Comedy,A gripping comedy story full of twists.
1642,movie,Hidden Truth 202,,,United States,"October 24, 2024",2022.0,TV-14,4 Season,Action,
1643,TV Show,Midnight Tales 447,Dir. 93,Actor 1452,India,03-06-2023,,TV-MA,75 min,Documentary,
1644,MOVIE,Broken Dreams 584,Director 200,"Actor 16, Actor 885",,25-02-2026,,PG,,Comedy,Unexpected events change everything.
1645,Movie,Mystery House 1227,,Actor 1769,,2019-08-18,,TV-14,61 min,Drama,
1344,Movie,Silent Voices 622,Director 464,,United States,"December 22, 2018",2011.0,PG-13,31 min,Documentary,
1647,Movie,Midnight Tales 1944,Dir. 395,,UK,04-11-2020,,PG,,Sci-Fi,
1648,TV Show,Mystery House 690,Dir. 449,,India,"July 03, 2024",1999.0,NR,71 min,Drama,A gripping drama story full of twists.
1649,MOVIE,Secret Files 532,,"Actor 138, Actor 1358",Canada,2015-08-24,1995.0,TV-14,6 Season,Thriller,An emotional journey about life and relationships.
1650,MOVIE,Dark Crime 419,Director 366,Actor 909,Germany,03/15/2022,2020.0,R,,Thriller,A gripping thriller story full of twists.
1651,movie,Midnight Tales 12,,Actor 1916,Germany,06/12/2016,,R,,Comedy,A gripping comedy story full of twists.
1196,MOVIE,Love Story 1635,Director 139,"Actor 314, Actor 870",India,,2025.0,R,80 min,Comedy,
1653,MOVIE,Urban Legends 1882,,"Actor 192, Actor 1311",,2019-09-22,,TV-MA,59 min,Documentary,An emotional journey about life and relationships.
1654,MOVIE,Urban Legends 47,,Actor 1162,,,,TV-14,202 min,Sci-Fi,
355,MOVIE,Last Kingdom 288,Director 384,,,"December 19, 2017",,R,,Comedy,An emotional journey about life and relationships.
1656,TV Show,Last Kingdom 799,,Actor 1841,United States,,,PG,124 min,Romance,A gripping romance story full of twists.
1657,MOVIE,Midnight Tales 118,,,Canada,2018-04-02,1996.0,NR,5 Season,Romance,
1658,Movie,Broken Dreams 1065,,Actor 489,Australia,06/19/2022,,TV-MA,,Romance,An emotional journey about life and relationships.
1659,movie,Love Story 1728,,,UK,16-05-2022,,PG,8 Season,Thriller,
1660,movie,Last Kingdom 1806,,Actor 1132,Germany,,,PG-13,11 Seasons,Thriller,
387,Movie,Ocean Secrets 1214,Dir. 62,"Actor 319, Actor 1075",,,1999.0,TV-MA,84 min,Documentary,A gripping documentary story full of twists.
1662,MOVIE,Lost City 668,Dir. 374,,,,,,,Thriller,
1663,Movie,Secret Files 1040,,"Actor 373, Actor 1286",India,"September 23, 2024",,PG,,Drama,A gripping drama story full of twists.
1664,TV Show,Dark Crime 1982,Director 118,,India,06-01-2021,2008.0,PG-13,,Comedy,Unexpected events change everything.
1665,tv show,Broken Dreams 4,,,,"May 05, 2022",,PG-13,,Documentary,Unexpected events change everything.
1666,movie,Silent Voices 1318,,"Actor 394, Actor 1114",,,,PG,,Action,An emotional journey about life and relationships.
1667,movie,Hidden Truth 1728,,,Germany,,2005.0,,,Drama,
1668,MOVIE,Love Story 568,Director 213,,France,12-08-2018,1983.0,,8 Season,Documentary,A gripping documentary story full of twists.
1669,TV Show,Lost City 1910,,"Actor 343, Actor 1092",Canada,14-09-2025,,NR,78 min,Comedy,Unexpected events change everything.
1670,Movie,Broken Dreams 1606,Director 383,"Actor 50, Actor 942",Canada,"May 16, 2017",,TV-14,65 min,Romance,A gripping romance story full of twists.
1671,MOVIE,Hidden Truth 241,Dir. 90,,India,,,,12 Season,Documentary,
1672,TV Show,Hidden Truth 1321,,Actor 1993,France,,2018.0,PG,187 min,Comedy,An emotional journey about life and relationships.
1673,TV Show,Lost City 1179,,"Actor 256, Actor 1146",,,1998.0,R,11 Season,Drama,
1674,tv show,Hidden Truth 1071,,,,06/27/2015,1986.0,PG-13,,Sci-Fi,
1675,tv show,Hidden Truth 1849,,,France,05/31/2015,,TV-14,5 Seasons,Drama,An emotional journey about life and relationships.
1676,Movie,Mystery House 1014,,"Actor 184, Actor 1289",France,01/08/2023,1991.0,PG,12 Seasons,Documentary,An emotional journey about life and relationships.
1677,MOVIE,Last Kingdom 1279,,,Australia,"June 26, 2018",1996.0,,5 Season,Comedy,Unexpected events change everything.
1678,TV Show,Dark Crime 1528,,,UK,,,PG,,Horror,
1679,tv show,Hidden Truth 584,Dir. 6,,France,"July 07, 2021",,,87 min,Action,
1680,tv show,Hidden Truth 1889,Director 274,Actor 277,Australia,,,NR,50 min,Comedy,A gripping comedy story full of twists.
1681,MOVIE,Lost City 872,Dir. 338,Actor 665,Canada,2016-10-27,1999.0,NR,,Documentary,
1682,TV Show,Midnight Tales 1798,Director 489,,United States,2019-03-18,,NR,,Drama,An emotional journey about life and relationships.
1683,TV Show,Midnight Tales 1077,Director 406,,Germany,2019-07-21,1980.0,,1 Seasons,Sci-Fi,
1684,MOVIE,Urban Legends 1302,Dir. 256,"Actor 410, Actor 1153",,"April 20, 2025",,,,Romance,Unexpected events change everything.
1685,movie,Hidden Truth 91,Dir. 131,,Germany,"April 21, 2024",,,,Comedy,Unexpected events change everything.
1686,MOVIE,Dark Crime 881,Director 113,"Actor 288, Actor 1359",Germany,03/05/2023,,,179 min,Comedy,Unexpected events change everything.
1687,tv show,Love Story 1066,,,,27-05-2021,,PG-13,,Romance,Unexpected events change everything.
1688,MOVIE,Midnight Tales 1579,Dir. 405,,Canada,04-03-2026,2020.0,TV-MA,7 Season,Thriller,
1689,movie,Broken Dreams 488,Director 352,"Actor 331, Actor 1144",India,"June 02, 2020",2001.0,NR,167 min,Comedy,A gripping comedy story full of twists.
1690,movie,Last Kingdom 1567,Director 267,,,31-08-2025,2010.0,,70 min,Sci-Fi,
1691,TV Show,Hidden Truth 1931,,Actor 1796,France,2020-12-13,1991.0,PG-13,79 min,Drama,
1692,tv show,Ocean Secrets 1315,Dir. 406,,India,"August 01, 2018",2005.0,PG-13,,Sci-Fi,An emotional journey about life and relationships.
1693,TV Show,Last Kingdom 1499,,,,,2006.0,PG,,Comedy,
1694,Movie,Mystery House 352,,Actor 1664,,,,PG,45 min,Drama,Unexpected events change everything.
1695,MOVIE,Last Kingdom 1552,Director 471,,Canada,06-01-2021,,,,Thriller,Unexpected events change everything.
1696,movie,Lost City 1472,Dir. 440,Actor 1330,France,2024-03-30,,TV-14,176 min,Action,Unexpected events change everything.
1697,Movie,Dark Crime 1425,Director 452,"Actor 280, Actor 1045",,,,TV-14,115 min,Drama,
1698,MOVIE,Hidden Truth 1928,Dir. 109,,India,07-01-2021,,TV-MA,10 Season,Comedy,An emotional journey about life and relationships.
1699,TV Show,Broken Dreams 115,Director 325,"Actor 337, Actor 715",UK,"September 18, 2021",2007.0,TV-MA,9 Seasons,Thriller,
1700,MOVIE,Mystery House 1919,Director 345,,Germany,2019-06-06,,PG,195 min,Comedy,An emotional journey about life and relationships.
1701,Movie,Midnight Tales 859,,"Actor 414, Actor 1015",Canada,"March 04, 2026",1995.0,TV-MA,,Sci-Fi,A gripping sci-fi story full of twists.
1702,Movie,Last Kingdom 1931,,,United States,11-09-2016,2018.0,TV-14,84 min,Horror,
1703,TV Show,Mystery House 60,Director 309,,India,2022-11-10,2009.0,,9 Seasons,Thriller,A gripping thriller story full of twists.
1704,movie,Dark Crime 1778,Dir. 110,Actor 1917,United States,13-08-2016,,NR,,Romance,Unexpected events change everything.
1705,Movie,Mystery House 1278,Dir. 297,"Actor 318, Actor 1044",UK,,,NR,,Documentary,A gripping documentary story full of twists.
1134,tv show,Urban Legends 1652,,Actor 415,United States,2023-10-20,,TV-14,10 Season,Horror,
1707,TV Show,Urban Legends 1369,Dir. 334,"Actor 22, Actor 896",Australia,"March 18, 2021",,PG,,Horror,Unexpected events change everything.
1708,movie,Love Story 1001,Director 123,,Australia,,,TV-14,35 min,Documentary,An emotional journey about life and relationships.
1709,tv show,Dark Crime 1570,Dir. 434,Actor 108,,11/10/2024,,R,,Documentary,
1710,tv show,Urban Legends 395,,"Actor 487, Actor 1156",Australia,05-05-2024,,R,5 Seasons,Drama,
1711,TV Show,Dark Crime 121,Director 399,,United States,,2008.0,PG,80 min,Horror,
1712,MOVIE,Midnight Tales 220,,Actor 835,Australia,,1982.0,R,38 min,Thriller,
1713,Movie,Broken Dreams 455,Director 301,Actor 1481,France,,2014.0,PG,189 min,Drama,
1714,movie,Mystery House 1157,,,Canada,"August 24, 2022",,PG,2 Seasons,Action,
1715,movie,Last Kingdom 944,,,Germany,2022-09-24,,R,64 min,Action,Unexpected events change everything.
1716,tv show,Love Story 811,Dir. 170,,,31-07-2016,,,,Horror,A gripping horror story full of twists.
1717,Movie,Hidden Truth 1145,Dir. 108,,United States,,,PG-13,7 Seasons,Action,A gripping action story full of twists.
1718,tv show,Midnight Tales 990,Dir. 249,,Australia,"September 11, 2025",2025.0,,3 Seasons,Action,Unexpected events change everything.
1719,movie,Last Kingdom 393,Dir. 277,"Actor 459, Actor 525",France,2018-06-08,1991.0,,153 min,Horror,
1720,MOVIE,Secret Files 1257,,,Germany,14-11-2016,1980.0,NR,36 min,Action,
1721,movie,Ocean Secrets 1262,,,,"May 08, 2015",1998.0,TV-14,,Sci-Fi,An emotional journey about life and relationships.
1722,Movie,Lost City 1147,,,UK,"June 15, 2024",,TV-14,2 Season,Sci-Fi,
1723,TV Show,Mystery House 627,,"Actor 59, Actor 1109",Germany,01-11-2019,2017.0,TV-MA,,Documentary,
1724,tv show,Mystery House 535,Dir. 494,,Germany,,,PG-13,57 min,Thriller,
1725,movie,Broken Dreams 1466,Director 385,"Actor 301, Actor 979",Australia,06-04-2018,2022.0,R,,Documentary,A gripping documentary story full of twists.
1726,tv show,Last Kingdom 1755,Dir. 306,,,2023-07-19,,NR,179 min,Drama,A gripping drama story full of twists.
1727,TV Show,Midnight Tales 1307,Director 442,Actor 1700,Germany,"December 19, 2019",2000.0,NR,6 Seasons,Horror,
1728,movie,Ocean Secrets 698,,Actor 482,Australia,2016-04-26,,PG,3 Seasons,Sci-Fi,
1729,tv show,Mystery House 1585,,,UK,10/12/2021,2016.0,,77 min,Romance,
1730,tv show,Broken Dreams 1120,Dir. 267,Actor 1707,India,,2016.0,PG,3 Seasons,Horror,
1731,MOVIE,Broken Dreams 793,,Actor 470,India,,,NR,2 Seasons,Action,
1732,tv show,Love Story 1426,Dir. 179,Actor 967,,2025-06-18,,TV-14,,Comedy,
295,movie,Love Story 257,Dir. 102,Actor 71,Canada,,2025.0,TV-14,9 Season,Documentary,
1734,MOVIE,Ocean Secrets 1710,,,Germany,07/18/2022,,TV-14,78 min,Sci-Fi,Unexpected events change everything.
1735,MOVIE,Lost City 698,,,Germany,03/20/2025,2012.0,NR,81 min,Romance,An emotional journey about life and relationships.
1736,tv show,Hidden Truth 1464,Director 319,,France,04/11/2023,,R,44 min,Drama,Unexpected events change everything.
1737,TV Show,Hidden Truth 1590,Director 20,Actor 209,Germany,,1986.0,PG,,Comedy,Unexpected events change everything.
1738,TV Show,Love Story 1653,,,United States,,1991.0,PG,,Documentary,Unexpected events change everything.
1739,MOVIE,Silent Voices 626,,"Actor 104, Actor 595",United States,17-08-2020,1999.0,PG-13,111 min,Romance,
1740,Movie,Love Story 35,Director 208,"Actor 274, Actor 1110",Germany,"March 02, 2016",,NR,,Action,
1741,MOVIE,Urban Legends 465,,Actor 1446,Canada,,,R,7 Season,Sci-Fi,Unexpected events change everything.
120,movie,Silent Voices 1316,,"Actor 133, Actor 902",France,27-06-2019,2020.0,TV-14,216 min,Romance,
1743,movie,Love Story 1160,,"Actor 312, Actor 1433",Germany,30-07-2020,,TV-14,219 min,Comedy,A gripping comedy story full of twists.
1744,movie,Dark Crime 1120,,Actor 1565,UK,,,PG,46 min,Thriller,
1745,MOVIE,Mystery House 1647,Dir. 386,,France,"September 05, 2018",1996.0,,65 min,Horror,
1746,MOVIE,Silent Voices 453,Director 119,Actor 192,,12-06-2018,,TV-14,,Sci-Fi,An emotional journey about life and relationships.
1747,tv show,Urban Legends 725,Dir. 473,,Canada,"February 25, 2021",2025.0,NR,56 min,Drama,
1748,TV Show,Lost City 825,Director 472,,,"January 16, 2019",2003.0,TV-14,130 min,Romance,
1749,Movie,Last Kingdom 142,,,,,2007.0,,12 Season,Action,
1750,movie,Dark Crime 723,,Actor 452,,2019-06-25,2006.0,R,3 Season,Action,Unexpected events change everything.
502,movie,Mystery House 1973,Dir. 222,,,"March 08, 2017",,TV-14,,Comedy,
1752,TV Show,Silent Voices 1225,Director 9,Actor 551,Canada,13-09-2020,,R,,Drama,Unexpected events change everything.
1753,Movie,Secret Files 68,Director 93,"Actor 145, Actor 1489",Germany,,,,,Documentary,A gripping documentary story full of twists.
1754,tv show,Broken Dreams 653,Dir. 296,,,"March 13, 2016",,PG-13,77 min,Action,Unexpected events change everything.
1755,TV Show,Silent Voices 1482,,,Germany,"February 13, 2024",1989.0,PG-13,46 min,Action,
1756,TV Show,Lost City 1539,Dir. 238,,,,,,1 Seasons,Comedy,
1757,Movie,Love Story 1793,,"Actor 176, Actor 1283",India,,,TV-MA,,Comedy,Unexpected events change everything.
1758,Movie,Silent Voices 122,,Actor 374,France,"July 26, 2019",2006.0,,10 Seasons,Comedy,
1759,tv show,Ocean Secrets 1421,,,United States,"February 13, 2016",,TV-14,,Horror,A gripping horror story full of twists.
1760,TV Show,Secret Files 803,Dir. 11,"Actor 233, Actor 705",United States,"July 18, 2016",,PG-13,36 min,Comedy,A gripping comedy story full of twists.
1761,MOVIE,Love Story 665,Dir. 52,,Germany,21-05-2025,,,121 min,Thriller,An emotional journey about life and relationships.
1762,Movie,Secret Files 1369,Dir. 346,,India,"September 27, 2017",,TV-14,,Sci-Fi,Unexpected events change everything.
1763,tv show,Mystery House 1302,Dir. 221,"Actor 83, Actor 540",,06/14/2020,,PG,35 min,Horror,Unexpected events change everything.
1764,TV Show,Last Kingdom 1941,Director 41,Actor 1560,Canada,,1995.0,,4 Seasons,Romance,
1765,movie,Dark Crime 1950,Director 254,,India,12/18/2018,,PG-13,73 min,Documentary,
1766,TV Show,Love Story 1232,Director 66,,India,,1997.0,TV-14,119 min,Action,An emotional journey about life and relationships.
1767,tv show,Last Kingdom 104,,"Actor 258, Actor 1243",,"October 10, 2021",,PG,,Horror,
1768,tv show,Secret Files 1217,,,Canada,09/25/2024,,PG,195 min,Sci-Fi,An emotional journey about life and relationships.
1769,movie,Lost City 1900,,"Actor 48, Actor 905",Germany,,2009.0,TV-14,,Romance,An emotional journey about life and relationships.
1770,movie,Secret Files 1073,,"Actor 309, Actor 1285",Germany,,1997.0,,,Sci-Fi,
1771,Movie,Secret Files 29,,,UK,04/21/2017,1988.0,PG,91 min,Drama,
1772,movie,Ocean Secrets 1062,,,,2018-04-12,,R,,Documentary,An emotional journey about life and relationships.
1773,tv show,Urban Legends 185,,,France,,,TV-14,143 min,Action,An emotional journey about life and relationships.
1774,MOVIE,Silent Voices 1485,,,,,2012.0,,,Drama,
1775,MOVIE,Urban Legends 744,Dir. 197,,India,"January 17, 2017",1983.0,PG,,Drama,Unexpected events change everything.
1776,MOVIE,Midnight Tales 851,,"Actor 153, Actor 1364",India,2016-02-06,1985.0,PG-13,9 Seasons,Romance,An emotional journey about life and relationships.
1777,MOVIE,Broken Dreams 371,Dir. 164,"Actor 14, Actor 942",Germany,"October 04, 2020",,NR,1 Season,Sci-Fi,
1778,tv show,Urban Legends 1228,,,Germany,2015-06-01,2005.0,R,6 Seasons,Documentary,
1779,TV Show,Broken Dreams 1121,Dir. 232,,Australia,15-06-2020,,TV-MA,10 Season,Comedy,An emotional journey about life and relationships.
1780,movie,Hidden Truth 1067,Dir. 430,,Australia,2019-05-27,1987.0,NR,3 Seasons,Thriller,An emotional journey about life and relationships.
1781,movie,Lost City 1726,,,Canada,22-08-2015,1983.0,TV-MA,,Sci-Fi,
1782,MOVIE,Dark Crime 423,,,United States,12/16/2020,,NR,85 min,Thriller,
1783,movie,Urban Legends 697,Dir. 234,,Germany,,1991.0,TV-MA,7 Season,Horror,An emotional journey about life and relationships.
1784,MOVIE,Hidden Truth 1179,,"Actor 234, Actor 702",,14-09-2021,1998.0,TV-MA,8 Season,Horror,
1785,tv show,Hidden Truth 871,,Actor 295,India,,2011.0,,42 min,Action,An emotional journey about life and relationships.
1786,tv show,Dark Crime 1553,,,UK,08/09/2021,2005.0,PG-13,212 min,Action,
1787,movie,Last Kingdom 536,,,Australia,"April 07, 2020",2010.0,NR,85 min,Comedy,
1788,movie,Secret Files 195,,,France,,1981.0,,,Documentary,Unexpected events change everything.
1789,MOVIE,Dark Crime 1550,Dir. 448,,UK,01/07/2025,2010.0,R,9 Seasons,Documentary,An emotional journey about life and relationships.
1790,TV Show,Urban Legends 1098,Dir. 391,,United States,,2021.0,R,140 min,Comedy,An emotional journey about life and relationships.
1791,TV Show,Dark Crime 865,,Actor 1751,,,,,53 min,Romance,An emotional journey about life and relationships.
1792,movie,Lost City 1054,,"Actor 273, Actor 634",,10-05-2019,1984.0,R,9 Seasons,Horror,
1793,MOVIE,Urban Legends 944,Director 364,Actor 290,Germany,18-05-2018,2001.0,PG-13,5 Season,Documentary,
1794,tv show,Midnight Tales 197,Director 330,,Australia,"February 29, 2024",,PG,10 Season,Drama,An emotional journey about life and relationships.
1795,Movie,Love Story 968,Dir. 418,Actor 729,India,2019-11-07,,PG,8 Season,Horror,Unexpected events change everything.
1796,tv show,Last Kingdom 1974,Director 334,Actor 1864,Australia,,,TV-14,,Documentary,
1797,tv show,Midnight Tales 911,Director 283,Actor 216,Australia,,,R,1 Seasons,Romance,A gripping romance story full of twists.
124,TV Show,Hidden Truth 924,Dir. 369,,,,2010.0,TV-MA,7 Seasons,Action,A gripping action story full of twists.
1799,Movie,Love Story 11,Dir. 357,Actor 1061,UK,2020-12-06,1983.0,NR,7 Season,Comedy,
1800,tv show,Silent Voices 302,,"Actor 250, Actor 1331",,2022-07-03,,R,5 Seasons,Drama,An emotional journey about life and relationships.
1801,TV Show,Mystery House 1474,,,UK,06/29/2017,2024.0,,10 Seasons,Sci-Fi,
1802,MOVIE,Urban Legends 1895,,Actor 1769,,12/16/2019,,TV-MA,3 Seasons,Romance,A gripping romance story full of twists.
1803,Movie,Urban Legends 658,,Actor 1223,Australia,"April 24, 2021",2006.0,PG-13,165 min,Drama,
1804,movie,Hidden Truth 1345,,,UK,,,NR,11 Season,Sci-Fi,An emotional journey about life and relationships.
1805,TV Show,Ocean Secrets 1148,Director 43,"Actor 24, Actor 1386",UK,2018-08-19,,PG-13,116 min,Romance,Unexpected events change everything.
1806,movie,Love Story 397,,"Actor 481, Actor 1385",Canada,,1986.0,TV-14,4 Season,Documentary,
1807,Movie,Silent Voices 740,Director 358,"Actor 121, Actor 1377",,"May 17, 2023",,,140 min,Action,
1808,TV Show,Hidden Truth 1817,Dir. 447,,Australia,2019-12-25,,,11 Season,Action,
1648,TV Show,Ocean Secrets 266,Dir. 186,Actor 1298,UK,,,R,,Action,A gripping action story full of twists.
1810,tv show,Secret Files 1769,Dir. 154,"Actor 170, Actor 1117",Australia,"June 01, 2017",1994.0,PG,4 Season,Sci-Fi,An emotional journey about life and relationships.
1811,Movie,Dark Crime 533,Dir. 404,,India,,,NR,,Sci-Fi,Unexpected events change everything.
1812,Movie,Last Kingdom 853,Dir. 345,"Actor 171, Actor 1019",Germany,,2003.0,R,5 Season,Romance,
1813,TV Show,Lost City 528,Dir. 179,Actor 1232,United States,"August 19, 2015",,PG,80 min,Documentary,Unexpected events change everything.
1814,tv show,Mystery House 697,,"Actor 156, Actor 1476",Germany,08/18/2016,2013.0,TV-14,1 Seasons,Comedy,Unexpected events change everything.
1815,Movie,Urban Legends 1932,Dir. 168,Actor 1950,United States,,1983.0,,43 min,Drama,
1816,Movie,Urban Legends 252,Dir. 427,"Actor 147, Actor 1012",UK,,,R,,Action,
1817,TV Show,Love Story 1726,,,India,2021-05-08,,R,,Sci-Fi,An emotional journey about life and relationships.
1818,MOVIE,Lost City 362,Director 53,"Actor 331, Actor 949",Germany,"January 30, 2020",2010.0,TV-14,,Thriller,
1819,TV Show,Dark Crime 982,Dir. 202,,Australia,28-08-2016,1999.0,R,,Action,
1820,TV Show,Secret Files 1118,Director 250,"Actor 486, Actor 560",India,,2016.0,R,1 Season,Sci-Fi,A gripping sci-fi story full of twists.
1821,MOVIE,Mystery House 329,Dir. 182,Actor 1991,Canada,,2020.0,NR,49 min,Documentary,A gripping documentary story full of twists.
1822,MOVIE,Love Story 1074,Dir. 272,,France,2016-08-25,1990.0,,45 min,Sci-Fi,Unexpected events change everything.
1823,movie,Silent Voices 1153,,,Canada,06/22/2021,,NR,,Drama,An emotional journey about life and relationships.
1824,tv show,Dark Crime 1999,,,Australia,11/28/2022,1980.0,R,,Documentary,
1825,Movie,Ocean Secrets 483,Director 418,,France,2022-03-20,,PG,77 min,Romance,An emotional journey about life and relationships.
1826,MOVIE,Lost City 895,Dir. 346,,France,30-01-2019,,PG,5 Seasons,Thriller,
1827,TV Show,Broken Dreams 1827,Director 85,,France,27-06-2016,2002.0,PG-13,4 Season,Romance,
1828,MOVIE,Silent Voices 571,,,India,2023-03-29,2025.0,,129 min,Comedy,
908,tv show,Broken Dreams 1863,,,,,2001.0,,166 min,Action,
1830,MOVIE,Silent Voices 375,,Actor 803,,11-10-2018,,R,,Romance,Unexpected events change everything.
1831,Movie,Love Story 1093,,Actor 1366,Canada,2022-11-15,,,9 Season,Drama,An emotional journey about life and relationships.
1832,movie,Mystery House 820,Dir. 174,,Germany,,,R,1 Seasons,Drama,A gripping drama story full of twists.
1833,TV Show,Last Kingdom 1112,,,Germany,"October 20, 2025",,PG-13,,Romance,
1834,Movie,Ocean Secrets 1103,Dir. 210,,United States,2021-10-04,2014.0,TV-MA,53 min,Documentary,
1835,TV Show,Hidden Truth 441,,"Actor 191, Actor 1177",Australia,18-03-2023,,PG,,Romance,A gripping romance story full of twists.
1836,Movie,Hidden Truth 1951,Director 37,,Germany,"October 14, 2021",,PG-13,57 min,Horror,
1837,Movie,Mystery House 676,,Actor 1505,,02/02/2022,2023.0,NR,3 Seasons,Documentary,Unexpected events change everything.
1838,movie,Love Story 1594,,,India,2022-05-12,1993.0,NR,83 min,Action,A gripping action story full of twists.
1839,TV Show,Silent Voices 1853,Director 101,,Germany,,,TV-MA,,Action,Unexpected events change everything.
1840,Movie,Broken Dreams 1951,Dir. 497,Actor 1928,United States,12-02-2020,,NR,5 Season,Drama,An emotional journey about life and relationships.
1841,tv show,Urban Legends 864,,,United States,03/15/2026,1996.0,R,,Drama,
1842,TV Show,Love Story 1151,Director 10,"Actor 16, Actor 603",,12-10-2016,1996.0,R,,Action,
1843,Movie,Last Kingdom 86,,,France,"October 28, 2023",,R,187 min,Action,
1844,MOVIE,Secret Files 267,,,France,"December 13, 2020",,,,Drama,
1845,Movie,Midnight Tales 1983,Dir. 92,"Actor 437, Actor 575",Canada,2020-12-25,1989.0,,32 min,Horror,
1846,Movie,Broken Dreams 411,Dir. 131,Actor 1487,Germany,14-12-2024,,,,Drama,A gripping drama story full of twists.
1847,MOVIE,Ocean Secrets 778,Director 7,"Actor 440, Actor 990",France,,,TV-MA,86 min,Sci-Fi,A gripping sci-fi story full of twists.
872,Movie,Silent Voices 22,,"Actor 332, Actor 638",France,"April 07, 2020",,TV-14,179 min,Thriller,An emotional journey about life and relationships.
1849,TV Show,Dark Crime 1849,,,UK,2017-06-05,,PG-13,,Thriller,A gripping thriller story full of twists.
1850,MOVIE,Urban Legends 78,Dir. 362,,UK,2019-02-11,2012.0,TV-14,10 Season,Drama,A gripping drama story full of twists.
1851,tv show,Dark Crime 265,,,Germany,"May 03, 2020",,PG-13,41 min,Thriller,
1852,movie,Silent Voices 1007,,,,04/24/2020,1981.0,,11 Seasons,Thriller,An emotional journey about life and relationships.
1853,tv show,Lost City 1353,,,India,17-02-2025,,NR,,Thriller,
1854,TV Show,Mystery House 1256,,,India,03/08/2023,,PG-13,6 Seasons,Documentary,Unexpected events change everything.
1340,movie,Dark Crime 1286,Dir. 454,,United States,04/11/2023,,PG-13,7 Season,Horror,Unexpected events change everything.
1530,Movie,Hidden Truth 472,Dir. 74,,Germany,12/08/2020,,R,37 min,Sci-Fi,
1857,movie,Love Story 805,,Actor 978,India,"June 28, 2016",1980.0,PG-13,49 min,Drama,Unexpected events change everything.
1858,TV Show,Midnight Tales 346,,Actor 1721,,,2024.0,R,,Horror,
1859,TV Show,Last Kingdom 1046,Dir. 234,,Canada,,2012.0,R,,Drama,
1860,TV Show,Lost City 651,Dir. 34,Actor 860,United States,2018-02-19,2015.0,,,Comedy,Unexpected events change everything.
1861,movie,Lost City 273,,,Australia,2025-02-24,,NR,5 Season,Thriller,Unexpected events change everything.
1862,MOVIE,Lost City 1452,Director 257,Actor 1240,United States,24-08-2019,1994.0,TV-MA,9 Season,Sci-Fi,
1863,MOVIE,Midnight Tales 124,,,,2019-09-17,,NR,11 Season,Drama,
1864,tv show,Midnight Tales 41,Dir. 183,,,"August 20, 2019",2008.0,NR,67 min,Thriller,An emotional journey about life and relationships.
1865,movie,Silent Voices 187,,,Canada,2024-05-26,,R,80 min,Documentary,
1866,movie,Dark Crime 999,Director 5,"Actor 133, Actor 1403",France,02/24/2021,2017.0,TV-14,6 Seasons,Sci-Fi,
1867,MOVIE,Last Kingdom 1215,Dir. 275,Actor 486,Canada,08/11/2019,,PG,3 Seasons,Drama,
1868,movie,Silent Voices 1831,Dir. 38,"Actor 124, Actor 1290",United States,2018-08-06,,NR,11 Season,Sci-Fi,
1869,tv show,Love Story 279,,Actor 1820,France,11/28/2024,,TV-MA,4 Season,Romance,
1870,TV Show,Dark Crime 1635,,,Germany,,1997.0,NR,62 min,Drama,Unexpected events change everything.
1871,tv show,Mystery House 416,,,Germany,05/06/2016,2019.0,TV-MA,108 min,Horror,An emotional journey about life and relationships.
1872,tv show,Hidden Truth 1489,Director 350,"Actor 482, Actor 1326",Canada,04/19/2016,2015.0,,,Comedy,A gripping comedy story full of twists.
1873,MOVIE,Lost City 982,,,Australia,05/06/2015,2022.0,PG-13,4 Season,Documentary,Unexpected events change everything.
1874,TV Show,Mystery House 1838,Director 271,Actor 1650,United States,,,R,100 min,Action,
1875,MOVIE,Urban Legends 1436,,,United States,2020-07-04,2016.0,TV-14,10 Season,Action,An emotional journey about life and relationships.
1876,tv show,Ocean Secrets 894,Dir. 167,Actor 814,Germany,2016-10-09,,,83 min,Action,An emotional journey about life and relationships.
1877,MOVIE,Mystery House 903,,"Actor 429, Actor 905",UK,09/07/2018,2024.0,TV-14,,Action,Unexpected events change everything.
1878,MOVIE,Mystery House 172,Director 134,"Actor 41, Actor 1231",Germany,02/21/2018,,PG-13,,Documentary,Unexpected events change everything.
1879,tv show,Urban Legends 385,,,India,,1984.0,NR,,Sci-Fi,An emotional journey about life and relationships.
